题号,题干,A,B,C,D,E,答案,难度,题型,类别
1,"1.在Python语言中,不能作为变量名的是（）",student,_bpn,5dp,Teacher,,C,简单,单选题,Python基础
2,"2.以下关于 Python缩进的描述中 ,错误的是（）",缩进表达了所属关系和代码块的所属范围,"缩进是可以嵌套的 ,从而形成多层缩进","判断、循环、函数等都能够通过缩进包含一
批代码","Python 用严格的缩进表示程序的格式框架 ,
所有代码都需要在行前至少加一个空格",,D,简单,单选题,Python基础
3,"3.以下代码 的输出结果是（）  
x='R\OS\OT' 
print(len(x))",3,5,7,6,,B,简单,单选题,Python基础
4,"4.以下关于 Python语言技术特点的描述中 ,错误
的是（）","对于需要更高执行速度的功能 ,例如数值计
算和动画 ,Python语言可以调用 c语言编写的
底层代码","Python 比大部分编程语言具有更高的软件
开发产量和简洁性","Python 语言是解释执行的 ,因此执行速度比
编译型语言慢","Python 是脚本语言 ,主要用作系统编程和
Web访问的开发语言",,D,简单,单选题,Python基础
5,"5.以下代码的输出结果是（）  
x=12+3*((5*8) -14)//6  
print(x)",22,65,25,24,,C,简单,单选题,Python基础
6,6.以下不属于 Python语言保留字的是（）,class,pass,sub,def,,C,简单,单选题,Python基础
7,7.表达式3**2*4//6%7 的计算结果是（）,3,5,4,6,,D,简单,单选题,Python基础
8,"8.以下关于 Python字符串的描述中 ,错误的是
（）","在Python字符串中 ,可以混合使用正整数和
负整数进行索引和切片","Python 字符串采用 [N:M]格式进行切片 ,获
取字符串从索引 N到M的子字符串 (包含N和
M)","字符串'my\\text.dat' 中第一个 \表示转义
符",空字符串可以表示为 "或'',,B,简单,单选题,Python基础
9,"9.Python 语言提供三种基本的数字类型 ,它们是
（）",整数类型、浮点数类型、复数类型,整数类型、二进制类型、浮点数类 型,整数类型、二进制类型、布尔类型,整数类型、二进制类型、复数类型,,A,简单,单选题,Python基础
10,"10.以下关于语言类型的描述中 ,正确的是（）","静态语言采用解释方式执行 ,脚本语言采用
编译方式执行","C语言是静态编译语言 ,Python语言是脚本
语言",编译是将目标代码转换成源代码的过程,"解释是将源代码一次性转换成目标代码同时
逐条运行目标代码的过程",,B,简单,单选题,Python基础
11,"11.在Python语言中,可以作为源文件后缀名的
是（）",png,pdf,py,ppt,,C,简单,单选题,Python基础
12,12.以下不属于 Python语言保留字的是 ()。,goto,FALSE,TRUE,pass,,A,简单,单选题,Python基础
13,"13.以下代码的输出结果是（）  
print (0.1+0.2== 0.3)",-1,TRUE,FALSE,0,,C,简单,单选题,Python基础
14,"14.以下关于 Python字符编码的描述中 ,正确的
是（）",Python 字符编码使用 ASCII编码存储。,"chr(x) 和ord(x)函数用于在单字符和
Unicode编码值之间进行转换",print(chr('a')) 输出97,print(ord(65)) 输出A,,B,简单,单选题,Python基础
15,"15.以下代码的输出结果是（）  
a= 10.99  
print(complex(a))",0.99,10.99i+j,10.99,(10.99+0j),,D,简单,单选题,Python基础
16,16.在Python语言中，不能作为变量名的是（）,q,Word,5p,_rx,,C,简单,单选题,Python基础
17,"17.以下代码的输出结果是（）  
x =2+9*((3*12) - 8)// 10  
print(x)",26,27.2,281,27,,D,简单,单选题,Python基础
18,"18.以下关于 Python字符编码的描述中，错误的
是（）",print(chr(65)) 输出A,"chr(x) 和ord(x)函数用于在单字符和
Unicode编码值之间进行转换",Python 字符编码使用 ASCII编码,print(ord('a')) 输出97,,C,简单,单选题,Python基础
19,19.以下不属于 Python语言保留字的是（）,do,pass,while,def,,A,简单,单选题,Python基础
20,20.表达式3*4**2//8%7 的计算结果是（）,3,6,4,5,,B,简单,单选题,Python基础
21,"21.以下不是 Python语言所使用特殊含义符号的
是（）",$,**,&,+=,,A,简单,单选题,Python基础
22,22.以下不是 Python语言保留字的是（）,lambda,pass,await,do,,D,简单,单选题,Python基础
23,23.以下保留字不用于循环逻辑的是（）,try,else,for,continue,,A,简单,单选题,Python基础
24,"24.s='1234567890‘ ，以下表示 '1234'的选项是
（）",s[-10:-5],s[0:3],s[0:4],s[1:5],,C,简单,单选题,Python基础
26,"26.以下不是 Python语言所使用特殊含义符号的
是（）",&=,**,^,?,,D,简单,单选题,Python基础
27,27.2,,,281,27,,A,简单,单选题,Python基础
28,28.以下保留字不用于异常处理逻辑的是（）,else,if,try,finally,,B,简单,单选题,Python基础
29,29.以下不是 Python语言特点的是（）,执行速度快,语法简洁,支持中文,生态丰富,,A,简单,单选题,Python基础
30,30.以下符合 Python语言变量命名规则的是（）,5_2,!d,turtle,(ABC),,C,简单,单选题,Python基础
31,31.Python 为源文件指定的默认字符编码是（）,UTF-8,GB2312,GBK,ASCII,,A,简单,单选题,Python基础
32,"32.以下程序的输出结果是（）  
x=3.1415926  
print(round(x,2),round(x))","2,2","3,3.14","3.14,3","3,3",,C,简单,单选题,Python基础
